Unix,Min,Avg,Max
1484083800,22.3438,22.3542,22.375
1484084700,22.3438,22.3646,22.4062
1484085600,22.2812,22.3229,22.375
1484086500,22.2812,22.3125,22.3438
1484087400,22.2188,22.2604,22.2812
1484088300,22.25,22.2708,22.2812
1484089200,22.1875,22.2292,22.25
1484090100,22.1875,22.2084,22.2188
1484091000,22.0938,22.125,22.1562
1484091900,22.0625,22.0625,22.0625
1484092800,22.0312,22.0937,22.125
1484093700,22.0938,22.1042,22.125
1484094600,22.0312,22.0833,22.1562
1484095500,21.9688,22,22.0312
1484096400,21.9062,21.9271,21.9375
1484097300,21.9375,22,22.0312
1484098200,22,22.0104,22.0312
1484099100,21.9375,21.9792,22
1484100000,22,22.0104,22.0312
1484100900,21.9062,21.9271,21.9688
1484101800,21.9062,21.9583,22
1484102700,21.7812,21.8229,21.9062
1484103600,21.7812,21.8437,21.9062
1484104500,21.3438,21.4792,21.5938
1484105400,21.2188,21.25,21.3125
1484106300,21.0625,21.1562,21.25
1484107200,20.9062,20.9583,21.0312
1484108100,20.9062,20.9271,20.9375
1484109000,20.7812,20.8229,20.875
1484109900,20.6875,20.7396,20.8125
